xed_index	isa_set	macro_token	group_token	group_id	group_allocation	decode_bit_token	decode_bit_id	decode_bitmap_index	decode_bitmap_mask	bit_allocation	record_count
197	KEYLOCKER_WIDE	KEYLOCKER_WIDE	KEYLOCKER_WIDE	278	appended	KEYLOCKER_WIDE	225	3	0x0000000200000000	appended	4
198	LAHF	LAHF	LAHF	279	appended	LAHF	226	3	0x0000000400000000	appended	2
199	LKGS	LKGS	LKGS	280	appended	LKGS	227	3	0x0000000800000000	appended	2
200	LONGMODE	LONGMODE	LONGMODE	281	appended	LONGMODE	228	3	0x0000001000000000	appended	30
201	LWP	LWP	LWP	41	existing	SYSTEM	24	0	0x0000000001000000	existing	6
202	LZCNT	LZCNT	LZCNT	31	existing	BITMANIP	18	0	0x0000000000040000	existing	2
203	MCOMMIT	MCOMMIT	MCOMMIT	282	appended	MCOMMIT	229	3	0x0000002000000000	appended	1
204	MONITOR	MONITOR	MONITOR	283	appended	MONITOR	230	3	0x0000004000000000	appended	5
205	MONITORX	MONITORX	MONITORX	284	appended	MONITORX	231	3	0x0000008000000000	appended	5
206	MOVBE	MOVBE	MOVBE	52	existing	NONE	none	none	0x0000000000000000	base	2
207	MOVDIR64B	MOVDIR64B	MOVDIR64B	106	existing	SYSTEM	24	0	0x0000000001000000	existing	2
208	MOVDIRI	MOVDIRI	MOVDIRI	105	existing	SYSTEM	24	0	0x0000000001000000	existing	2
209	MOVRS	MOVRS	MOVRS	285	appended	MOVRS	232	3	0x0000010000000000	appended	3
210	MPX	MPX	MPX	57	existing	SECURITY	28	0	0x0000000010000000	existing	30
211	MSRLIST	MSRLIST	MSRLIST	286	appended	MSRLIST	233	3	0x0000020000000000	appended	2
212	MSR_IMM	MSR_IMM	MSR_IMM	287	appended	MSR_IMM	234	3	0x0000040000000000	appended	2
213	PAUSE	PAUSE	PAUSE	22	existing	MEMORY_HINTS	29	0	0x0000000020000000	existing	1
214	PBNDKB	PBNDKB	PBNDKB	288	appended	PBNDKB	235	3	0x0000080000000000	appended	1
215	PCLMULQDQ	PCLMULQDQ	PCLMULQDQ	35	existing	PCLMUL	15	0	0x0000000000008000	existing	2
216	PCONFIG	PCONFIG	PCONFIG	289	appended	PCONFIG	236	3	0x0000100000000000	appended	2
217	PENTIUMMMX	PENTIUMMMX	PENTIUMMMX	290	appended	PENTIUMMMX	237	3	0x0000200000000000	appended	136
218	PENTIUMREAL	PENTIUMREAL	PENTIUMREAL	291	appended	PENTIUMREAL	238	3	0x0000400000000000	appended	7
219	PKU	PKU	PKU	110	existing	SECURITY	28	0	0x0000000010000000	existing	2
220	POPCNT	POPCNT	POPCNT	32	existing	BITMANIP	18	0	0x0000000000040000	existing	2
221	PPRO	PPRO	PPRO	292	appended	PPRO	239	3	0x0000800000000000	appended	40
222	PPRO_UD0_LONG	PPRO_UD0_LONG	PPRO_UD0_LONG	293	appended	PPRO_UD0_LONG	240	3	0x0001000000000000	appended	2
223	PPRO_UD0_SHORT	PPRO_UD0_SHORT	PPRO_UD0_SHORT	294	appended	PPRO_UD0_SHORT	241	3	0x0002000000000000	appended	1
224	PREFETCHWT1	PREFETCHWT1	PREFETCHWT1	295	appended	PREFETCHWT1	242	3	0x0004000000000000	appended	1
225	PREFETCH_NOP	PREFETCH_NOP	PREFETCH_NOP	296	appended	PREFETCH_NOP	243	3	0x0008000000000000	appended	8
226	PTWRITE	PTWRITE	PTWRITE	297	appended	PTWRITE	244	3	0x0010000000000000	appended	2
227	RAO_INT	RAO_INT	RAO_INT	298	appended	RAO_INT	245	3	0x0020000000000000	appended	8
228	RDPID	RDPID	RDPID	103	existing	SYSTEM	24	0	0x0000000001000000	existing	2
229	RDPMC	RDPMC	RDPMC	299	appended	RDPMC	246	3	0x0040000000000000	appended	1
230	RDPRU	RDPRU	RDPRU	300	appended	RDPRU	247	3	0x0080000000000000	appended	1
231	RDRAND	RDRAND	RDRAND	43	existing	SECURITY	28	0	0x0000000010000000	existing	1
232	RDSEED	RDSEED	RDSEED	55	existing	SECURITY	28	0	0x0000000010000000	existing	1
233	RDTSCP	RDTSCP	RDTSCP	111	existing	SYSTEM	24	0	0x0000000001000000	existing	1
234	RDWRFSGS	RDWRFSGS	RDWRFSGS	301	appended	RDWRFSGS	248	3	0x0100000000000000	appended	4
235	RTM	RTM	RTM	51	existing	TRANSACTIONAL	27	0	0x0000000008000000	existing	4
236	SEP	SEP	SEP	14	existing	SYSTEM	24	0	0x0000000001000000	existing	4
237	SERIALIZE	SERIALIZE	SERIALIZE	104	existing	SYSTEM	24	0	0x0000000001000000	existing	1
238	SGX	SGX	SGX	56	existing	SECURITY	28	0	0x0000000010000000	existing	2
239	SGX_ENCLV	SGX_ENCLV	SGX_ENCLV	302	appended	SGX_ENCLV	249	3	0x0200000000000000	appended	1
240	SHA	SHA	SHA	61	existing	SHA	16	0	0x0000000000010000	existing	14
241	SHA512	SHA512	SHA512	95	existing	SHA512	42	0	0x0000040000000000	existing	3
242	SM3	SM3	SM3	96	existing	SM3	31	0	0x0000000080000000	existing	6
243	SM4	SM4	SM4	97	existing	SM4	32	0	0x0000000100000000	existing	8
244	SM4_128	SM4_128	SM4_128	303	appended	SM4_128	250	3	0x0400000000000000	appended	4
245	SM4_256	SM4_256	SM4_256	304	appended	SM4_256	251	3	0x0800000000000000	appended	4
246	SM4_512	SM4_512	SM4_512	305	appended	SM4_512	252	3	0x1000000000000000	appended	4
247	SMAP	SMAP	SMAP	306	appended	SMAP	253	3	0x2000000000000000	appended	2
248	SMX	SMX	SMX	92	existing	SMX	23	0	0x0000000000800000	existing	1
249	SNP	SNP	SNP	307	appended	SNP	254	3	0x4000000000000000	appended	4
250	SSE	SSE	SSE	19	existing	SSE	3	0	0x0000000000000008	existing	98
251	SSE2	SSE2	SSE2	20	existing	SSE2	4	0	0x0000000000000010	existing	273
252	SSE2MMX	SSE2MMX	SSE2MMX	308	appended	SSE2MMX	255	3	0x8000000000000000	appended	6
253	SSE3	SSE3	SSE3	24	existing	SSE3	5	0	0x0000000000000020	existing	19
254	SSE3X87	SSE3X87	SSE3X87	309	appended	SSE3X87	256	4	0x0000000000000001	appended	3
255	SSE4	SSE4	SSE4	310	appended	SSE4_ISA_SET	270	4	0x0000000000004000	appended	97
256	SSE42	SSE42	SSE42	33	existing	SSE42	56	0	0x0100000000000000	existing	26
257	SSE4a	SSE4A	SSE4A	30	existing	SSE4A	57	0	0x0200000000000000	existing	6
258	SSEMXCSR	SSEMXCSR	SSEMXCSR	311	appended	SSEMXCSR	257	4	0x0000000000000002	appended	2
259	SSE_PREFETCH	SSE_PREFETCH	SSE_PREFETCH	312	appended	SSE_PREFETCH	258	4	0x0000000000000004	appended	4
260	SSSE3	SSSE3	SSSE3	28	existing	SSSE3	6	0	0x0000000000000040	existing	32
261	SSSE3MMX	SSSE3MMX	SSSE3MMX	313	appended	SSSE3MMX	259	4	0x0000000000000008	appended	32
262	SVM	SVM	SVM	27	existing	SVM	54	0	0x0040000000000000	existing	8
263	TBM	TBM	TBM	40	existing	BITMANIP	18	0	0x0000000000040000	existing	40
264	TDX	TDX	TDX	314	appended	TDX	260	4	0x0000000000000010	appended	5
265	TSX_LDTRK	TSX_LDTRK	TSX_LDTRK	114	existing	TRANSACTIONAL	27	0	0x0000000008000000	existing	2
266	UINTR	UINTR	UINTR	113	existing	SYSTEM	24	0	0x0000000001000000	existing	5
267	USER_MSR	USER_MSR	USER_MSR	315	appended	USER_MSR	261	4	0x0000000000000020	appended	4
268	VAES	VAES	VAES	77	existing	VAES	40	0	0x0000010000000000	existing	8
269	VIA_PADLOCK_AES	VIA_PADLOCK_AES	VIA_PADLOCK_AES	316	appended	VIA_PADLOCK_AES	262	4	0x0000000000000040	appended	5
270	VIA_PADLOCK_MONTMUL	VIA_PADLOCK_MONTMUL	VIA_PADLOCK_MONTMUL	317	appended	VIA_PADLOCK_MONTMUL	263	4	0x0000000000000080	appended	2
271	VIA_PADLOCK_RNG	VIA_PADLOCK_RNG	VIA_PADLOCK_RNG	318	appended	VIA_PADLOCK_RNG	264	4	0x0000000000000100	appended	2
272	VIA_PADLOCK_SHA	VIA_PADLOCK_SHA	VIA_PADLOCK_SHA	319	appended	VIA_PADLOCK_SHA	265	4	0x0000000000000200	appended	2
273	VMFUNC	VMFUNC	VMFUNC	320	appended	VMFUNC	266	4	0x0000000000000400	appended	1
274	VPCLMULQDQ	VPCLMULQDQ	VPCLMULQDQ	78	existing	VPCLMULQDQ	41	0	0x0000020000000000	existing	2
275	VTX	VTX	VTX	321	appended	VTX	267	4	0x0000000000000800	appended	20
276	WAITPKG	WAITPKG	WAITPKG	94	existing	SYSTEM	24	0	0x0000000001000000	existing	3
277	WBNOINVD	WBNOINVD	WBNOINVD	107	existing	SYSTEM	24	0	0x0000000001000000	existing	1
278	WRMSRNS	WRMSRNS	WRMSRNS	322	appended	WRMSRNS	268	4	0x0000000000001000	appended	1
279	X87	X87	X87	6	existing	FPU	0	0	0x0000000000000001	existing	154
280	XOP	XOP	XOP	38	existing	XOP	12	0	0x0000000000001000	existing	166
281	XSAVE	XSAVE	XSAVE	36	existing	STATE	26	0	0x0000000004000000	existing	6
282	XSAVEC	XSAVEC	XSAVEC	59	existing	STATE	26	0	0x0000000004000000	existing	2
283	XSAVEOPT	XSAVEOPT	XSAVEOPT	42	existing	STATE	26	0	0x0000000004000000	existing	2
284	XSAVES	XSAVES	XSAVES	60	existing	STATE	26	0	0x0000000004000000	existing	4
